code,tradeStatus_x,code_name_x
sh.000001,1,上证综合指数
sh.000002,1,上证A股指数
sh.000003,1,上证B股指数
sh.000004,1,上证工业类指数
sh.000005,1,上证商业类指数
sh.000006,1,上证房地产指数
sh.000007,1,上证公用事业指数
sh.000008,1,上证综合业类指数
sh.000010,1,上证180指数
sh.000011,1,上证基金指数
sh.000012,1,上证国债指数
sh.000015,1,上证红利指数
sh.000016,1,上证50指数
sh.000017,1,新上证综指
sh.000018,1,上证180金融股指数
sh.000019,1,上证公司治理指数
sh.000020,1,上证中型企业综合指数
sh.000021,1,上证180公司治理指数
sh.000022,1,沪公司债
sh.000025,1,上证180基建指数
sh.000026,1,上证180资源指数
sh.000027,1,上证180交通运输指数
sh.000028,1,上证180成长指数
sh.000029,1,上证180价值指数
sh.000030,1,上证180相对成长指数
sh.000031,1,上证180相对价值指数
sh.000032,1,上证能源行业指数
sh.000033,1,上证原材料行业指数
sh.000034,1,上证工业行业指数
sh.000035,1,上证可选消费行业指数
sh.000036,1,上证主要消费行业指数
sh.000037,1,上证医药卫生行业指数
sh.000038,1,上证金融地产行业指数
sh.000039,1,上证信息技术行业指数
sh.000040,1,上证电信业务行业指数
sh.000041,1,上证公用事业行业指数
sh.000042,1,上证中央企业50指数
sh.000043,1,上证超级大盘指数
sh.000044,1,上证中盘
sh.000045,1,上证小盘
sh.000046,1,上证中小
sh.000047,1,上证全指
sh.000048,1,责任指数
sh.000049,1,上证民企
sh.000054,1,上证海外
sh.000056,1,上证国企
sh.000057,1,全指成长
sh.000058,1,全指价值
sh.000059,1,全R成长
sh.000060,1,全R价值
sh.000061,1,沪企债30
sh.000062,1,上证沪企
sh.000063,1,上证周期
sh.000064,1,非周期
sh.000065,1,上证龙头
sh.000066,1,上证商品
sh.000067,1,上证新兴
sh.000068,1,上证资源
sh.000069,1,消费80
sh.000300,1,沪深300指数
sh.000832,1,中证可转换债券指数
sh.000852,1,中证1000指数
sh.000901,1,中证南方小康产业指数
sh.000903,1,中证100指数
sh.000904,1,中证200指数
sh.000905,1,中证500指数
sh.000906,1,中证800指数
sh.000908,1,沪深300能源指数
sh.000909,1,沪深300原材料指数
sh.000910,1,沪深300工业指数
sh.000911,1,沪深300可选消费指数
sh.000912,1,沪深300主要消费指数
sh.000913,1,沪深300医药卫生指数
sh.000914,1,沪深300金融地产指数
sh.000917,1,沪深300公用事业指数
sh.000918,1,沪深300成长指数
sh.000919,1,沪深300价值指数
sh.000922,1,中证红利指数
sh.000925,1,中证锐联基本面50指数
sh.000928,1,中证能源指数
sh.000931,1,中证可选消费指数
sh.000932,1,中证主要消费指数
sh.000933,1,中证医药卫生指数
sh.000934,1,中证金融地产指数
sh.000935,1,中证信息技术指数
sh.000944,1,中证内地资源主题指数
sh.000952,1,沪深300房地产指数
sh.000961,1,中证上游资源产业指数
sh.000963,1,中证下游消费与服务产业指数
sh.000964,1,中证新兴产业指数
sh.000969,1,沪深300非周期行业指数
sh.600000,1,浦发银行
sh.600004,1,白云机场
sh.600006,1,东风汽车
sh.600007,1,中国国贸
sh.600008,1,首创环保
sh.600009,1,上海机场
sh.600010,1,包钢股份
sh.600011,1,华能国际
sh.600012,1,皖通高速
sh.600015,1,华夏银行
sh.600016,1,民生银行
sh.600017,1,日照港
sh.600018,1,上港集团
sh.600019,1,宝钢股份
sh.600020,1,中原高速
sh.600021,1,上海电力
sh.600022,1,山东钢铁
sh.600026,1,中远海能
sh.600027,1,华电国际
sh.600028,1,中国石化
sh.600029,1,南方航空
sh.600030,1,中信证券
sh.600031,1,三一重工
sh.600033,1,福建高速
sh.600035,1,楚天高速
sh.600036,1,招商银行
sh.600037,1,歌华有线
sh.600038,1,中直股份
sh.600039,1,四川路桥
sh.600048,1,保利发展
sh.600050,1,中国联通
sh.600051,1,宁波联合
sh.600052,1,东望时代
sh.600053,1,九鼎投资
sh.600054,1,黄山旅游
sh.600055,1,万东医疗
sh.600056,1,中国医药
sh.600058,1,五矿发展
sh.600059,1,古越龙山
sh.600060,1,海信视像
sh.600061,1,国投资本
sh.600062,1,华润双鹤
sh.600063,1,皖维高新
sh.600064,1,南京高科
sh.600066,1,宇通客车
sh.600067,1,冠城大通
sh.600070,1,ST富润
sh.600071,1,凤凰光学
sh.600072,1,中船科技
sh.600073,1,上海梅林
sh.600075,1,新疆天业
sh.600076,1,康欣新材
sh.600078,1,ST澄星
sh.600079,1,人福医药
sh.600080,1,金花股份
sh.600081,1,东风科技
sh.600082,1,海泰发展
sh.600083,1,博信股份
sh.600084,1,中葡股份
sh.600085,1,同仁堂
sh.600088,1,中视传媒
sh.600089,1,特变电工
sh.600095,1,湘财股份
sh.600096,1,云天化
sh.600097,1,开创国际
sh.600098,1,广州发展
sh.600099,1,林海股份
sh.600100,1,同方股份
sh.600101,1,明星电力
sh.600103,1,青山纸业
sh.600104,1,上汽集团
sh.600105,1,永鼎股份
sh.600106,1,重庆路桥
sh.600107,1,美尔雅
sh.600108,1,亚盛集团
sh.600109,1,国金证券
sh.600110,1,诺德股份
sh.600111,1,北方稀土
sh.600112,1,ST天成
sh.600113,1,浙江东日
sh.600115,1,中国东航
sh.600116,1,三峡水利
sh.600117,1,*ST西钢
sh.600118,1,中国卫星
sh.600119,1,长江投资
sh.600120,1,浙江东方
sh.600121,1,郑州煤电
sh.600123,1,兰花科创
sh.600125,1,铁龙物流
sh.600126,1,杭钢股份
sh.600127,1,金健米业
sh.600128,1,苏豪弘业
sh.600129,1,太极集团
sh.600130,1,波导股份
sh.600131,1,国网信通
sh.600132,1,重庆啤酒
sh.600133,1,东湖高新
sh.600135,1,乐凯胶片
sh.600136,1,*ST明诚
sh.600137,1,浪莎股份
sh.600138,1,中青旅
sh.600141,1,兴发集团
sh.600143,1,金发科技
sh.600148,1,长春一东
sh.600149,1,廊坊发展
sh.600150,1,中国船舶
sh.600151,1,航天机电
sh.600152,1,维科技术
sh.600153,1,建发股份
sh.600156,1,华升股份
sh.600157,1,永泰能源
sh.600158,1,中体产业
sh.600159,1,大龙地产
sh.600160,1,巨化股份
sh.600161,1,天坛生物
sh.600162,1,香江控股
sh.600163,1,中闽能源
sh.600165,1,宁科生物
sh.600166,1,福田汽车
sh.600167,1,联美控股
sh.600168,1,武汉控股
sh.600169,1,太原重工
sh.600170,1,上海建工
sh.600171,1,上海贝岭
sh.600172,1,黄河旋风
sh.600173,1,卧龙地产
sh.600176,1,中国巨石
sh.600177,1,雅戈尔
sh.600178,1,东安动力
sh.600180,1,瑞茂通
sh.600182,1,S佳通
sh.600183,1,生益科技
sh.600184,1,光电股份
sh.600185,1,格力地产
sh.600186,1,莲花健康
sh.600187,1,国中水务
sh.600188,1,兖矿能源
sh.600189,1,泉阳泉
sh.600190,1,锦州港
sh.600191,1,华资实业
sh.600192,1,长城电工
sh.600193,1,创兴资源
sh.600195,1,中牧股份
sh.600196,1,复星医药
sh.600197,1,伊力特
sh.600198,1,大唐电信
sh.600199,1,金种子酒
sh.600200,1,江苏吴中
sh.600201,1,生物股份
sh.600202,1,哈空调
sh.600203,1,福日电子
sh.600206,1,有研新材
sh.600207,1,安彩高科
sh.600208,1,新湖中宝
sh.600210,1,紫江企业
sh.600211,1,西藏药业
sh.600212,1,绿能慧充
sh.600213,1,亚星客车
sh.600215,1,派斯林
sh.600216,1,浙江医药
sh.600217,1,中再资环
sh.600218,1,全柴动力
sh.600219,1,南山铝业
sh.600220,1,江苏阳光
sh.600221,1,海航控股
sh.600222,1,太龙药业
sh.600223,1,福瑞达
sh.600225,1,卓朗科技
sh.600226,1,瀚叶股份
sh.600227,1,赤天化
sh.600228,1,返利科技
sh.600229,1,城市传媒
sh.600230,1,沧州大化
sh.600231,1,凌钢股份
sh.600232,1,金鹰股份
sh.600233,1,圆通速递
sh.600234,1,科新发展
sh.600235,1,民丰特纸
sh.600236,1,桂冠电力
sh.600237,1,铜峰电子
sh.600238,1,海南椰岛
sh.600239,1,云南城投
sh.600241,1,时代万恒
sh.600243,1,青海华鼎
sh.600246,1,万通发展
sh.600248,1,陕建股份
sh.600249,1,两面针
sh.600250,1,南纺股份
sh.600251,1,冠农股份
sh.600252,1,中恒集团
sh.600255,1,鑫科材料
sh.600256,1,广汇能源
sh.600257,1,大湖股份
sh.600258,1,首旅酒店
sh.600259,1,广晟有色
sh.600261,1,阳光照明
sh.600262,1,北方股份
sh.600265,1,ST景谷
sh.600266,1,城建发展
sh.600267,1,海正药业
sh.600268,1,国电南自
sh.600269,1,赣粤高速
sh.600271,1,航天信息
sh.600272,1,开开实业
sh.600273,1,嘉化能源
sh.600276,1,恒瑞医药
